,minister,company,country,issue,point,state,year,case,day,good,month,report,time,accord,concern,airline,aviation,flight,safety,mouth,disease
C7-article08.txt,0.011832888808514288,0.00990210257942779,0.008532187948705024,0.01706437589741005,0.023665777617028576,0.017602052589894748,0.005867350863298249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7-article05.txt,0.12852965429937932,0.02390162691586018,0.0,0.01029746821395434,0.0,0.0,0.01770321381167575,0.013522551016498666,0.017926220186895134,0.007140536349965518,0.014281072699931036,0.004507517005499556,0.0035406427623351504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7-article04.txt,0.0,0.0,0.0,0.02059493642790868,0.0,0.0,0.028325142098681203,0.0,0.0,0.0,0.0,0.0,0.014162571049340602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7-article06.txt,0.03654274484982353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023067881145791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7-article07.txt,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.061607184064631615,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7-article03.txt,0.0,0.0,0.0,0.0,0.0,0.012321436812926323,0.0,0.0,0.0,0.0,0.0,0.015686159179138452,0.024642873625852647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7-article02.txt,0.03030373963156098,0.0,0.021850725234488475,0.021850725234488475,0.0,0.0,0.0,0.0,0.0,0.03030373963156098,0.06060747926312196,0.0,0.0150261424547882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7-article01.txt,0.0,0.0,0.0,0.01367755320021416,0.03793750610363359,0.0,0.028217030869296923,0.011974167312319428,0.015873599554807907,0.018968753051816795,0.07587501220726718,0.0,0.009405676956432307,0.015873599554807907,0.018968753051816795,0.0,0.0,0.0,0.0,0.0,0.0
C1-article08.txt,0.031857777561384616,0.02665950694461328,0.0,0.0,0.031857777561384616,0.03159342772545211,0.0,0.0,0.0,0.0,0.0,0.020110460486074937,0.0,0.0,0.0,0.02665950694461328,0.06371555512276923,0.12743111024553846,0.08044184194429975,0.0,0.0
C1-article05.txt,0.0,0.0,0.03257744489505554,0.0,0.0,0.022402612387138768,0.044805224774277536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04518012090523637,0.18904014015271234,0.04518012090523637,0.0,0.1711217364996922,0.0,0.0
C1-article04.txt,0.0,0.0,0.0,0.04977109636744597,0.0,0.03422621336923978,0.0,0.0,0.0,0.0,0.06902518471633334,0.0,0.0,0.0,0.06902518471633334,0.28881132523331055,0.0,0.0,0.0871453287729914,0.0,0.0
C1-article06.txt,0.0,0.05041070404072329,0.0,0.005429574149175924,0.0075300201508727285,0.014935074924759179,0.0037337687311897946,0.019013526277743577,0.012602676010180823,0.0075300201508727285,0.0,0.0,0.0037337687311897946,0.012602676010180823,0.0075300201508727285,0.05041070404072329,0.0,0.022590060452618185,0.023766907847179473,0.0,0.0
C1-article07.txt,0.0,0.08317766166719343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04158883083359671,0.0,0.04969813299576001,0.12548927343310762,0.0,0.0
C1-article03.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027519577507260442,0.021616555812151442,0.0,0.0,0.14592572222314637,0.043594853505052635,0.043594853505052635,0.055039155014520884,0.0,0.0
C1-article02.txt,0.010142476121583676,0.02546254948995717,0.0,0.0,0.010142476121583676,0.0,0.0,0.019207541852006266,0.04243758248326195,0.010142476121583676,0.010142476121583676,0.019207541852006266,0.020116631531308285,0.02546254948995717,0.020284952243167353,0.05092509897991434,0.0,0.020284952243167353,0.03201256975334378,0.0,0.0
C1-article01.txt,0.0,0.014747812352339261,0.025415027932312834,0.012707513966156417,0.0,0.02621582300622622,0.03495443067496829,0.0,0.014747812352339261,0.0,0.0,0.0,0.0,0.014747812352339261,0.03524690283387234,0.20646937293274967,0.12336415991855322,0.01762345141693617,0.055624677940207284,0.0,0.0
C4-article08.txt,0.009631421123209303,0.0,0.02083441243288436,0.0,0.0,0.0,0.0,0.01215981331716159,0.00805985093674355,0.009631421123209303,0.04815710561604652,0.0,0.004775750702684621,0.00805985093674355,0.0,0.0,0.0,0.0,0.006079906658580795,0.03852568449283721,0.02889426336962791
C4-article05.txt,0.0,0.0,0.04370145046897695,0.04370145046897695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11477677448150087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121495852624392,0.24242991705248784
C4-article04.txt,0.042117061860813564,0.0,0.03036880456318737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08423412372162713,0.16846824744325425
C4-article06.txt,0.02715744972445902,0.0,0.04895517675486489,0.0,0.0,0.026932102323336225,0.006733025580834056,0.04285835841294659,0.011363068533769595,0.0,0.0,0.0,0.006733025580834056,0.04545227413507838,0.0,0.0,0.0,0.0,0.0,0.06789362431114755,0.10862979889783608
